Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Predikto (now part of United Technologies),https://www.utc.com/en/news/news-center/2018/08/21/united-technologies-acquires-predikto-inc,"Predikto has developed a proven cloud-based predictive health maintenance solution, which enables customers to forecast and improve asset reliability with greater certainty. Its software platform automates up to 80% of the process to create classification machine learning algorithms to predict failures in industrial equipment. Big expensive transportation assets or highly distributed equipment is our sweet spot due to the high cost of downtime. ",Acquired,"7,600,000",Asset Health,Emerging,2013,USA,Alternative,TRUE,,,,
Presenso (now part of SKF),http://www.presenso.com/,"Presenso provides an AI Driven Industrial Intelligence solution. The Presenso solution uses advanced Artificial Intelligence to provide real-time asset failure predictions based on monitoring sensors’ signal data in the cloud. With its proprietary adaptive algorithms, Presenso can analyze sensor behavior, automatically learn how machines behave and use this learning to predict machine failures before they occur.",Acquired,"2,000,000",Asset Health,Emerging,2015,Israel,Alternative,TRUE,,,,
Infinite Uptime,http://www.infinite-uptime.com/,"Infinite Uptime provides an IoT platform that automates predictive maintenance for industrial machines, with an initial focus on the manufacturing industry. Infinite Uptime provides an all in one industrial solution with hardware, cloud analytics and control software to monitor equipment, diagnose problems and drive smart decision making.",Series A,"6,100,000",Asset Health,Emerging,2015,India,Alternative,TRUE,,,,
Cache,https://www.cach-inc.com/,"Structural health monitoring. More efficient inspection and monitoring of bridges and structures. CACH has developed a remote, cloud based analytics solution for structural health that is low coast and easy to install. It uses wireless strain gauges, load cells and displacement tranducers. ",Seed,,Asset Health,Emerging,2016,Japan,Alternative,TRUE,,,,
Zasti,http://www.zasti.ai/,"ZASTI's AI platform provides a scientific and proven way of predicting component or mechanical failure using a transparent SaaS model.ZASTI© is an Artificial Intelligence (AI) technology platform that helps companies and their clients by predicting risks and improving business efficiency. The technology platform is built using proprietary Deep Learning algorithms to provide predictive and diagnostic solutions. ZASTI analyses existing data, identifies anomalies and recurring usage patterns, and then delivers highly accurate predictions and diagnoses through specific vertical sector applications. For industrial users, ZASTI can cut down downtime by 50-70%, increase business efficiency by 20-30% or save 30% of OPEX.",Seed,,Asset Health,Emerging,2017,USA,Alternative,TRUE,,,,
Flexciton,http://www.flexciton.com/,"Flexciton is building powerful cloud-based production planning and scheduling technology for the manufacturing industry using A.I. Combined mathematical optimisation (MIP) and A.I. technology, plus a unique decomposition method allows the most complex, so far unsolvable scheduling questions to be solved. Their solution is transforming the way the largest companies in the world make their products, and they were recently voted one of the world's most disruptive companies on the 2018 Disrupt 100 list: https://bit.ly/2L5y3q6",Seed,"4,300,000",Optimisation,Emerging,2016,England,Alternative,TRUE,,,,
Beet,http://www.beet.com/,"BEET Analytics Technology is a Smart Manufacturing solution provider founded in June, 2011 and provides Process Visibility System (PVS) built upon ENVISION, the software created by BEET. PVS is a new way to manage the manufacturing shop floor. It helps to transform the shop floor culture from reactive to proactive and enables predictive maintenance. Envision’s process visualization system is the only solution on the market that provides real-time degeneration data, allowing your team to see and address problems BEFORE a fault occurs for a significant reduction in unplanned downtime. Envision also makes it easy to correlate data and identify patterns over longer periods of time, so you can predict when recurring maintenance will be necessary, and replace your default maintenance schedule with one based on real, reliable data.",Seed,"263,000",Asset Health,Emerging,2011,China,Alternative,TRUE,,,,
Mnubo (Now part of Aspen Technology),https://mnubo.com/industries/industrial-equipment/,"Mnubo uses sensor and events data from field equipment to identify underperforming assets, empower service teams with condition-based maintenance schedules, reduce the cost of maintenance and enable data-driven aftermarket services.

Our intuitive modeling and management capabilities allow you to analyze and process time series data generated by industrial equipment to reduce downtime and improve efficiency.",Acquired,"22,500,000",Asset Health,Existing,2012,Canada,Alternative,TRUE,,,,
Canvass Analytics,https://www.canvass.io/,"Canvass Analytics is an AI-based predictive analytics platform designed for the Industrial Internet of Things. With Canvass Analytics, maintenance teams can reduce maintenance costs, prevent breakdowns and increase the useful life of assets by optimizing assets performance. Users can derive insights from across operations by automatically collecting data from diverse data sources and identifying patterns and correlations hidden deep within big data. Shift from historical reports that tell why something happened to predictive insights that prevent, optimize and foresee outcomes. Leverage predictive insights from a single process to across multiple plants using a central, scalable, flexible platform.",Seed,"6,500,000",Asset Health,Distant,2016,Canada,Alternative,TRUE,,,,
Alluvium (Now a part of Augury),https://www.augury.com/solutions/,"Machine Health is the Key to Global Productivity. Augury combines the foundations of asset performance management (APM) and predictive maintenance (PdM) with the most recent advances in sensor technology and artificial intelligence to provide industry leaders with unprecedented insight into their operations. Our Machine Health solution listens to machines, analyzes data in real-time, and provides accurate and actionable machine health insights. Real-Time Diagnostics for Entire Facilities - Augury monitors and protects production line assets and balance of plant equipment. We arm engineering, maintenance, and reliability professionals with continuous insights to improve asset performance across their facilities.",Acquired,"2,500,000",Asset Health,Distant,2015,USA,Alternative,TRUE,,,,
Interlate,https://www.interlate.com/,"Interlate develops data analytics solutions for mining and mineral processing industries. The products developed by the company allows the user to collect and analyse the data from various sources to get real-time insights about the production process. The company has developed 4 solutions namely: Assessment analyses various factors to indentify the areas of improvement in the production process, Sentinel analyses the time sensitive data to give insights about the production process in real time and Guardian tracks the progress of targeted improvements. The company also offers an Alliance service that allows the users to accelerate its project development by taking the help from technical domain experts and technology partners of the company",Undisclosed,Undisclosed,Optimisation,Emerging,2016,Australia,Mining,TRUE,Siemens,Activity,,
